Board,Pile,Tile,Score
1311,1,3,30
1056,3,2,-2
0054,2,5,-3
0205,1,1,33
0127,2,1,6
1326,1,2,5
1026,2,1,5
0016,3,6,30
0355,2,2,22
0315,1,1,24
1014,3,1,-4
1011,2,1,-34
0241,3,1,-10
1332,1,3,8
1026,0,1,11
0152,2,2,0
1027,2,1,39
0017,3,3,8
1003,3,3,85
1047,3,4,12
0043,2,1,21
1343,2,2,13
1147,3,5,11
1304,1,3,21
1247,1,2,8
1323,1,2,15
1103,3,1,1
1306,1,1,4
0047,3,2,11
0044,3,4,4
1306,1,2,5
1102,1,1,7
1352,1,3,-3
1056,2,4,10
1346,3,2,1
0344,1,1,3
0144,2,4,5
0152,3,1,6
1151,3,1,51
1140,1,1,38
0042,2,2,29
0254,1,1,13
1052,2,5,9
0314,3,4,5
1313,0,1,12
1140,2,1,-8
1331,2,3,7
1201,0,1,83
1006,3,2,5
1237,3,5,1
0230,1,2,-13
0237,2,2,-2
0027,3,7,-22
1333,3,1,9
0332,1,1,20
0132,2,3,10
1030,2,2,-28
1127,3,4,13
1120,2,1,25
1044,2,2,-1
1004,3,3,-16
1057,2,2,28
1027,3,4,20
1037,3,2,23
1247,3,7,1
1256,1,1,17
1106,3,3,3
0051,2,3,34
0342,3,1,14
0340,2,2,17
1047,3,2,6
1322,3,2,9
1120,1,1,16
1315,3,2,3
1207,1,1,46
1327,1,1,3
1127,2,2,13
1337,2,3,15
1335,3,1,8
0141,2,3,15
1326,3,2,5
1343,1,2,11
0143,2,2,3
0023,3,3,-16
0153,2,1,-3
0104,3,1,45
1227,3,5,11
1221,2,1,10
1056,2,2,21
1016,2,1,16
1354,3,1,18
0337,3,4,46
1346,2,1,-2
0027,3,6,14
1057,3,6,25
1334,1,3,6
1342,2,4,13
0302,3,2,7
0153,2,2,-1
0132,1,1,12
1231,3,1,-6
1340,1,2,26
1157,2,1,-9
0127,3,2,-1
0105,3,4,-12
1152,2,3,8
1112,1,1,13
1217,3,5,10
1147,3,4,11
1250,1,2,28
1203,3,1,11
1301,1,1,3
1327,3,1,6
0326,1,2,3
0026,3,1,4
0341,1,1,5
1337,1,3,3
1342,3,2,16
0027,3,1,11
1340,0,1,12
0121,2,2,-22
1057,3,1,15
1004,3,2,18
1153,2,5,21
1047,3,6,11
1154,3,2,23
1132,3,2,5
0052,2,5,-32
0043,3,2,11
1111,1,1,45
0055,3,5,-12
1054,2,1,-12
0044,3,2,11
1150,2,1,1
1040,2,2,34
0217,3,2,1
0137,2,3,28
0325,3,3,1
1311,0,1,33
0243,1,2,8
1220,0,1,23
0046,3,1,6
0043,2,2,16
1235,1,1,3
1130,0,1,21
1213,1,1,3
1013,3,3,-8
1054,2,5,2
0322,1,3,13
1344,2,4,15
1302,3,2,14
1152,2,5,-2
0330,2,2,21
1252,2,1,3
1241,1,1,5
1256,3,2,-2
0254,2,1,-1
1252,1,1,15
0131,2,3,-6
0327,3,5,28
0222,1,1,8
1053,2,5,2
1332,2,2,-1
1054,2,2,2
0325,2,1,2
1312,3,2,2
1312,1,3,-2
1344,2,2,-2
0324,1,2,-4
1351,1,3,29
1254,0,1,5
0207,3,2,13
1334,1,2,8
1034,3,2,5
1030,2,3,75
1317,3,1,11
1116,2,1,-1
0042,2,1,23
1147,2,4,3
1327,2,2,8
1154,1,1,46
1014,2,1,15
0027,3,4,31
1247,3,1,30
1243,2,4,5
1325,3,2,8
0323,3,1,6
0112,3,1,55
0334,3,4,13
0056,2,1,4
0307,3,6,50
0315,2,1,7
1351,0,1,32
